"zip","population","city","county"
"10001",25026,"New York City","New York"
"10002",74363,"New York City","New York"
"10003",54671,"New York City","New York"
"10004",3310,"New York City","New York"
"10005",8664,"New York City","New York"
"10006",3260,"New York City","New York"
"10007",7566,"New York City","New York"
"10009",58267,"New York City","New York"
"10010",34763,"New York City","New York"
"10011",50228,"New York City","New York"
"10012",23034,"New York City","New York"
"10013",28657,"New York City","New York"
"10014",29071,"New York City","New York"
"10016",52912,"New York City","New York"
"10017",16065,"New York City","New York"
"10018",8135,"New York City","New York"
"10019",45521,"New York City","New York"
"10021",42253,"New York City","New York"
"10022",31574,"New York City","New York"
"10023",62228,"New York City","New York"
"10024",60714,"New York City","New York"
"10025",92162,"New York City","New York"
"10026",38937,"New York City","New York"
"10027",64728,"New York City","New York"
"10028",47962,"New York City","New York"
"10029",74617,"New York City","New York"
"10030",30996,"New York City","New York"
"10031",60280,"New York City","New York"
"10032",59527,"New York City","New York"
"10033",58648,"New York City","New York"
"10034",41933,"New York City","New York"
"10035",36999,"New York City","New York"
"10036",28231,"New York City","New York"
"10037",19177,"New York City","New York"
"10038",24205,"New York City","New York"
"10039",27090,"New York City","New York"
"10040",45197,"New York City","New York"
"10044",12770,"New York City","New York"
"10069",6504,"New York City","New York"
"10128",57993,"New York City","New York"
"10162",1240,"New York City","New York"
"10280",9372,"New York City","New York"
"10282",6086,"New York City","New York"
"10301",38001,"Staten Island","Richmond"
"10302",17942,"Staten Island","Richmond"
"10303",27164,"Staten Island","Richmond"
"10304",42133,"Staten Island","Richmond"
"10305",42968,"Staten Island","Richmond"
"10306",54318,"Staten Island","Richmond"
"10307",15053,"Staten Island","Richmond"
"10308",28901,"Staten Island","Richmond"
"10309",33896,"Staten Island","Richmond"
"10310",24168,"Staten Island","Richmond"
"10312",61114,"Staten Island","Richmond"
"10314",89938,"Staten Island","Richmond"
"10451",49423,"Bronx","Bronx"
"10452",74379,"Bronx","Bronx"
"10453",78858,"Bronx","Bronx"
"10454",37807,"Bronx","Bronx"
"10455",40300,"Bronx","Bronx"
"10456",90479,"Bronx","Bronx"
"10457",74679,"Bronx","Bronx"
"10458",85893,"Bronx","Bronx"
"10459",48391,"Bronx","Bronx"
"10460",57514,"Bronx","Bronx"
"10461",51081,"Bronx","Bronx"
"10462",75441,"Bronx","Bronx"
"10463",70236,"Bronx","Bronx"
"10464",4322,"Bronx","Bronx"
"10465",45066,"Bronx","Bronx"
"10466",74519,"Bronx","Bronx"
"10467",100867,"Bronx","Bronx"
"10468",78778,"Bronx","Bronx"
"10469",72550,"Bronx","Bronx"
"10470",15500,"Bronx","Bronx"
"10471",22577,"Bronx","Bronx"
"10472",67989,"Bronx","Bronx"
"10473",59627,"Bronx","Bronx"
"10474",11579,"Bronx","Bronx"
"10475",43791,"Bronx","Bronx"
"10501",1237,"Amawalk","Westchester"
"10502",5351,"Ardsley","Westchester"
"10504",8053,"Armonk","Westchester"
"10505",1336,"Baldwin Place","Westchester"
"10506",5555,"Bedford","Westchester"
"10507",7152,"Bedford Hills","Westchester"
"10509",20230,"Brewster","Putnam"
"10510",10300,"Briarcliff Manor","Westchester"
"10511",2300,"Buchanan","Westchester"
"10512",24619,"Carmel","Putnam"
"10514",12543,"Chappaqua","Westchester"
"10516",5449,"Cold Spring","Putnam"
"10517",497,"Crompond","Westchester"
"10518",1041,"Cross River","Westchester"
"10519",305,"Croton Falls","Westchester"
"10520",12885,"Croton On Hudson","Westchester"
"10522",11052,"Dobbs Ferry","Westchester"
"10523",9415,"Elmsford","Westchester"
"10524",4317,"Garrison","Putnam"
"10526",1860,"Goldens Bridge","Westchester"
"10527",829,"Granite Springs","Westchester"
"10528",13395,"Harrison","Westchester"
"10530",12925,"Hartsdale","Westchester"
"10532",4739,"Hawthorne","Westchester"
"10533",7463,"Irvington","Westchester"
"10535",254,"Jefferson Valley","Westchester"
"10536",11002,"Katonah","Westchester"
"10537",2769,"Lake Peekskill","Putnam"
"10538",16151,"Larchmont","Westchester"
"10541",26678,"Mahopac","Putnam"
"10543",20999,"Mamaroneck","Westchester"
"10546",1085,"Millwood","Westchester"
"10547",8034,"Mohegan Lake","Westchester"
"10548",4087,"Montrose","Westchester"
"10549",16121,"Mount Kisco","Westchester"
"10550",36382,"Mount Vernon","Westchester"
"10552",21342,"Mount Vernon","Westchester"
"10553",9747,"Mount Vernon","Westchester"
"10560",4814,"North Salem","Westchester"
"10562",31847,"Ossining","Westchester"
"10566",24111,"Peekskill","Westchester"
"10567",20094,"Cortlandt Manor","Westchester"
"10570",12780,"Pleasantville","Westchester"
"10573",38749,"Port Chester","Westchester"
"10576",5036,"Pound Ridge","Westchester"
"10577",6387,"Purchase","Westchester"
"10578",1386,"Purdys","Westchester"
"10579",8250,"Putnam Valley","Putnam"
"10580",17185,"Rye","Westchester"
"10583",41087,"Scarsdale","Westchester"
"10588",3102,"Shrub Oak","Westchester"
"10589",8080,"Somers","Westchester"
"10590",7208,"South Salem","Westchester"
"10591",23059,"Tarrytown","Westchester"
"10594",5587,"Thornwood","Westchester"
"10595",8439,"Valhalla","Westchester"
"10596",1051,"Verplanck","Westchester"
"10597",699,"Waccabuc","Westchester"
"10598",28708,"Yorktown Heights","Westchester"
"10601",10256,"White Plains","Westchester"
"10603",18862,"White Plains","Westchester"
"10604",11132,"West Harrison","Westchester"
"10605",19849,"White Plains","Westchester"
"10606",16199,"White Plains","Westchester"
"10607",7162,"White Plains","Westchester"
"10701",61367,"Yonkers","Westchester"
"10703",22636,"Yonkers","Westchester"
"10704",31110,"Yonkers","Westchester"
"10705",39848,"Yonkers","Westchester"
"10706",8622,"Hastings On Hudson","Westchester"
"10707",9713,"Tuckahoe","Westchester"
"10708",22212,"Bronxville","Westchester"
"10709",9369,"Eastchester","Westchester"
"10710",25104,"Yonkers","Westchester"
"10801",40445,"New Rochelle","Westchester"
"10803",12492,"Pelham","Westchester"
"10804",14365,"New Rochelle","Westchester"
"10805",21331,"New Rochelle","Westchester"
"10901",23860,"Suffern","Rockland"
"10913",5294,"Blauvelt","Rockland"
"10914",391,"Blooming Grove","Orange"
"10916",4582,"Campbell Hall","Orange"
"10917",1650,"Central Valley","Orange"
"10918",12286,"Chester","Orange"
"10919",1286,"Circleville","Orange"
"10920",8919,"Congers","Rockland"
"10921",3812,"Florida","Orange"
"10922",1778,"Fort Montgomery","Orange"
"10923",7753,"Garnerville","Rockland"
"10924",13538,"Goshen","Orange"
"10925",3886,"Greenwood Lake","Orange"
"10926",3482,"Harriman","Orange"
"10927",12076,"Haverstraw","Rockland"
"10928",4132,"Highland Falls","Orange"
"10930",9789,"Highland Mills","Orange"
"10931",1031,"Hillburn","Rockland"
"10933",417,"Johnson","Orange"
"10940",49430,"Middletown","Orange"
"10941",13384,"Middletown","Orange"
"10950",53013,"Monroe","Orange"
"10952",43374,"Monsey","Rockland"
"10954",25870,"Nanuet","Rockland"
"10956",30697,"New City","Rockland"
"10958",3236,"New Hampton","Orange"
"10960",15757,"Nyack","Rockland"
"10962",5927,"Orangeburg","Rockland"
"10963",4367,"Otisville","Orange"
"10964",1506,"Palisades","Rockland"
"10965",15493,"Pearl River","Rockland"
"10968",2466,"Piermont","Rockland"
"10969",1098,"Pine Island","Orange"
"10970",10433,"Pomona","Rockland"
"10973",2510,"Slate Hill","Orange"
"10974",3189,"Sloatsburg","Rockland"
"10976",2300,"Sparkill","Rockland"
"10977",64677,"Spring Valley","Rockland"
"10980",13923,"Stony Point","Rockland"
"10983",5597,"Tappan","Rockland"
"10984",2661,"Thiells","Rockland"
"10986",1836,"Tomkins Cove","Rockland"
"10987",3499,"Tuxedo Park","Orange"
"10988",596,"Unionville","Orange"
"10989",8415,"Valley Cottage","Rockland"
"10990",20735,"Warwick","Orange"
"10992",8830,"Washingtonville","Orange"
"10993",5044,"West Haverstraw","Rockland"
"10994",7115,"West Nyack","Rockland"
"10996",6342,"West Point","Orange"
"10998",3428,"Westtown","Orange"
"11001",26542,"Floral Park","Nassau"
"11003",44712,"Elmont","Nassau"
"11004",15297,"Glen Oaks","Queens"
"11005",2249,"Floral Park","Queens"
"11010",25318,"Franklin Square","Nassau"
"11020",6325,"Great Neck","Nassau"
"11021",18181,"Great Neck","Nassau"
"11023",9479,"Great Neck","Nassau"
"11024",7869,"Great Neck","Nassau"
"11030",18450,"Manhasset","Nassau"
"11040",41523,"New Hyde Park","Nassau"
"11042",475,"New Hyde Park","Nassau"
"11050",30699,"Port Washington","Nassau"
"11096",8155,"Inwood","Nassau"
"11101",32537,"Long Island City","Queens"
"11102",28359,"Astoria","Queens"
"11103",35419,"Astoria","Queens"
"11104",25037,"Sunnyside","Queens"
"11105",37452,"Astoria","Queens"
"11106",37094,"Astoria","Queens"
"11109",6127,"Long Island City","Queens"
"11201",64798,"Brooklyn","Kings"
"11203",77589,"Brooklyn","Kings"
"11204",75840,"Brooklyn","Kings"
"11205",47866,"Brooklyn","Kings"
"11206",87599,"Brooklyn","Kings"
"11207",90867,"Brooklyn","Kings"
"11208",102626,"Brooklyn","Kings"
"11209",68368,"Brooklyn","Kings"
"11210",62423,"Brooklyn","Kings"
"11211",104561,"Brooklyn","Kings"
"11212",74037,"Brooklyn","Kings"
"11213",67382,"Brooklyn","Kings"
"11214",90372,"Brooklyn","Kings"
"11215",69995,"Brooklyn","Kings"
"11216",59567,"Brooklyn","Kings"
"11217",42461,"Brooklyn","Kings"
"11218",73280,"Brooklyn","Kings"
"11219",87812,"Brooklyn","Kings"
"11220",90657,"Brooklyn","Kings"
"11221",85582,"Brooklyn","Kings"
"11222",36710,"Brooklyn","Kings"
"11223",80500,"Brooklyn","Kings"
"11224",45587,"Brooklyn","Kings"
"11225",56072,"Brooklyn","Kings"
"11226",96332,"Brooklyn","Kings"
"11228",43878,"Brooklyn","Kings"
"11229",81909,"Brooklyn","Kings"
"11230",87188,"Brooklyn","Kings"
"11231",37796,"Brooklyn","Kings"
"11232",26501,"Brooklyn","Kings"
"11233",79796,"Brooklyn","Kings"
"11234",90372,"Brooklyn","Kings"
"11235",76921,"Brooklyn","Kings"
"11236",98821,"Brooklyn","Kings"
"11237",46772,"Brooklyn","Kings"
"11238",55102,"Brooklyn","Kings"
"11239",12832,"Brooklyn","Kings"
"11354",52351,"Flushing","Queens"
"11355",81358,"Flushing","Queens"
"11356",24178,"College Point","Queens"
"11357",40118,"Whitestone","Queens"
"11358",36665,"Flushing","Queens"
"11360",18892,"Bayside","Queens"
"11361",28531,"Bayside","Queens"
"11362",18694,"Little Neck","Queens"
"11363",6834,"Little Neck","Queens"
"11364",35866,"Oakland Gardens","Queens"
"11365",43730,"Fresh Meadows","Queens"
"11366",14109,"Fresh Meadows","Queens"
"11367",40141,"Flushing","Queens"
"11368",108661,"Corona","Queens"
"11369",30693,"East Elmhurst","Queens"
"11370",29366,"East Elmhurst","Queens"
"11372",63107,"Jackson Heights","Queens"
"11373",96495,"Elmhurst","Queens"
"11374",43173,"Rego Park","Queens"
"11375",72615,"Forest Hills","Queens"
"11377",82021,"Woodside","Queens"
"11378",39033,"Maspeth","Queens"
"11379",37780,"Middle Village","Queens"
"11385",105025,"Ridgewood","Queens"
"11411",20473,"Cambria Heights","Queens"
"11412",37987,"Saint Albans","Queens"
"11413",41810,"Springfield Gardens","Queens"
"11414",27672,"Howard Beach","Queens"
"11415",18464,"Kew Gardens","Queens"
"11416",26087,"Ozone Park","Queens"
"11417",31156,"Ozone Park","Queens"
"11418",37666,"Richmond Hill","Queens"
"11419",47955,"South Richmond Hill","Queens"
"11420",47266,"South Ozone Park","Queens"
"11421",39654,"Woodhaven","Queens"
"11422",32786,"Rosedale","Queens"
"11423",29532,"Hollis","Queens"
"11426",20222,"Bellerose","Queens"
"11427",25096,"Queens Village","Queens"
"11428",19830,"Queens Village","Queens"
"11429",27808,"Queens Village","Queens"
"11430",220,"Jamaica","Queens"
"11432",64282,"Jamaica","Queens"
"11433",36929,"Jamaica","Queens"
"11434",62590,"Jamaica","Queens"
"11435",59392,"Jamaica","Queens"
"11436",18955,"Jamaica","Queens"
"11501",19675,"Mineola","Nassau"
"11507",7051,"Albertson","Nassau"
"11509",1790,"Atlantic Beach","Nassau"
"11510",33949,"Baldwin","Nassau"
"11514",4644,"Carle Place","Nassau"
"11516",7476,"Cedarhurst","Nassau"
"11518",9819,"East Rockaway","Nassau"
"11520",43451,"Freeport","Nassau"
"11530",27669,"Garden City","Nassau"
"11542",27666,"Glen Cove","Nassau"
"11545",12686,"Glen Head","Nassau"
"11547",625,"Glenwood Landing","Nassau"
"11548",2491,"Greenvale","Nassau"
"11549",2728,"Hempstead","Nassau"
"11550",57073,"Hempstead","Nassau"
"11552",25169,"West Hempstead","Nassau"
"11553",26938,"Uniondale","Nassau"
"11554",37992,"East Meadow","Nassau"
"11557",7950,"Hewlett","Nassau"
"11558",8435,"Island Park","Nassau"
"11559",8265,"Lawrence","Nassau"
"11560",6850,"Locust Valley","Nassau"
"11561",37759,"Long Beach","Nassau"
"11563",21537,"Lynbrook","Nassau"
"11565",8921,"Malverne","Nassau"
"11566",33626,"Merrick","Nassau"
"11568",4470,"Old Westbury","Nassau"
"11569",1175,"Point Lookout","Nassau"
"11570",27240,"Rockville Centre","Nassau"
"11572",28673,"Oceanside","Nassau"
"11575",16799,"Roosevelt","Nassau"
"11576",12606,"Roslyn","Nassau"
"11577",12120,"Roslyn Heights","Nassau"
"11579",5183,"Sea Cliff","Nassau"
"11580",41930,"Valley Stream","Nassau"
"11581",21847,"Valley Stream","Nassau"
"11590",47468,"Westbury","Nassau"
"11596",10276,"Williston Park","Nassau"
"11598",13977,"Woodmere","Nassau"
"11691",68454,"Far Rockaway","Queens"
"11692",22394,"Arverne","Queens"
"11693",13029,"Far Rockaway","Queens"
"11694",21258,"Rockaway Park","Queens"
"11697",3527,"Breezy Point","Queens"
"11701",27264,"Amityville","Suffolk"
"11702",13963,"Babylon","Suffolk"
"11703",16820,"North Babylon","Suffolk"
"11704",39960,"West Babylon","Suffolk"
"11705",8033,"Bayport","Suffolk"
"11706",67484,"Bay Shore","Suffolk"
"11709",6720,"Bayville","Nassau"
"11710",35473,"Bellmore","Nassau"
"11713",8247,"Bellport","Suffolk"
"11714",22769,"Bethpage","Nassau"
"11715",4287,"Blue Point","Suffolk"
"11716",9748,"Bohemia","Suffolk"
"11717",62888,"Brentwood","Suffolk"
"11718",3070,"Brightwaters","Suffolk"
"11719",3209,"Brookhaven","Suffolk"
"11720",28773,"Centereach","Suffolk"
"11721",6258,"Centerport","Suffolk"
"11722",34139,"Central Islip","Suffolk"
"11724",3089,"Cold Spring Harbor","Suffolk"
"11725",29229,"Commack","Suffolk"
"11726",21012,"Copiague","Suffolk"
"11727",29262,"Coram","Suffolk"
"11729",25597,"Deer Park","Suffolk"
"11730",13335,"East Islip","Suffolk"
"11731",30951,"East Northport","Suffolk"
"11732",3505,"East Norwich","Nassau"
"11733",17000,"East Setauket","Suffolk"
"11735",33299,"Farmingdale","Nassau"
"11738",19364,"Farmingville","Suffolk"
"11739",1307,"Great River","Suffolk"
"11740",9321,"Greenlawn","Suffolk"
"11741",26245,"Holbrook","Suffolk"
"11742",11968,"Holtsville","Suffolk"
"11743",42636,"Huntington","Suffolk"
"11746",66518,"Huntington Station","Suffolk"
"11747",18795,"Melville","Suffolk"
"11749",3315,"Islandia","Suffolk"
"11751",13399,"Islip","Suffolk"
"11752",8821,"Islip Terrace","Suffolk"
"11753",13092,"Jericho","Nassau"
"11754",17861,"Kings Park","Suffolk"
"11755",12514,"Lake Grove","Suffolk"
"11756",42856,"Levittown","Nassau"
"11757",44130,"Lindenhurst","Suffolk"
"11758",53034,"Massapequa","Nassau"
"11762",22263,"Massapequa Park","Nassau"
"11763",28769,"Medford","Suffolk"
"11764",13633,"Miller Place","Suffolk"
"11765",871,"Mill Neck","Nassau"
"11766",11018,"Mount Sinai","Suffolk"
"11767",15051,"Nesconset","Suffolk"
"11768",20903,"Northport","Suffolk"
"11769",8299,"Oakdale","Suffolk"
"11771",9517,"Oyster Bay","Nassau"
"11772",46311,"Patchogue","Suffolk"
"11776",23578,"Port Jefferson Station","Suffolk"
"11777",9156,"Port Jefferson","Suffolk"
"11778",11855,"Rocky Point","Suffolk"
"11779",38091,"Ronkonkoma","Suffolk"
"11780",15934,"Saint James","Suffolk"
"11782",15057,"Sayville","Suffolk"
"11783",21285,"Seaford","Nassau"
"11784",25014,"Selden","Suffolk"
"11786",6225,"Shoreham","Suffolk"
"11787",33837,"Smithtown","Suffolk"
"11788",16693,"Hauppauge","Suffolk"
"11789",7496,"Sound Beach","Suffolk"
"11790",16099,"Stony Brook","Suffolk"
"11791",25776,"Syosset","Nassau"
"11792",8413,"Wading River","Suffolk"
"11793",30601,"Wantagh","Nassau"
"11794",3363,"Stony Brook","Suffolk"
"11795",25062,"West Islip","Suffolk"
"11796",4112,"West Sayville","Suffolk"
"11797",8998,"Woodbury","Nassau"
"11798",15636,"Wyandanch","Suffolk"
"11801",40179,"Hicksville","Nassau"
"11803",29208,"Plainview","Nassau"
"11804",4639,"Old Bethpage","Nassau"
"11901",28760,"Riverhead","Suffolk"
"11930",618,"Amagansett","Suffolk"
"11932",1099,"Bridgehampton","Suffolk"
"11933",6475,"Calverton","Suffolk"
"11934",7357,"Center Moriches","Suffolk"
"11935",3008,"Cutchogue","Suffolk"
"11937",16672,"East Hampton","Suffolk"
"11939",1144,"East Marion","Suffolk"
"11940",4963,"East Moriches","Suffolk"
"11941",1770,"Eastport","Suffolk"
"11942",5053,"East Quogue","Suffolk"
"11944",4144,"Greenport","Suffolk"
"11946",15058,"Hampton Bays","Suffolk"
"11947",423,"Jamesport","Suffolk"
"11948",670,"Laurel","Suffolk"
"11949",13457,"Manorville","Suffolk"
"11950",16130,"Mastic","Suffolk"
"11951",14756,"Mastic Beach","Suffolk"
"11952",5031,"Mattituck","Suffolk"
"11953",14301,"Middle Island","Suffolk"
"11954",3563,"Montauk","Suffolk"
"11955",3149,"Moriches","Suffolk"
"11956",353,"New Suffolk","Suffolk"
"11957",1023,"Orient","Suffolk"
"11958",683,"Peconic","Suffolk"
"11959",571,"Quogue","Suffolk"
"11960",721,"Remsenburg","Suffolk"
"11961",13701,"Ridge","Suffolk"
"11962",296,"Sagaponack","Suffolk"
"11963",6966,"Sag Harbor","Suffolk"
"11964",2287,"Shelter Island","Suffolk"
"11965",456,"Shelter Island Heights","Suffolk"
"11967",29130,"Shirley","Suffolk"
"11968",10778,"Southampton","Suffolk"
"11970",391,"South Jamesport","Suffolk"
"11971",6073,"Southold","Suffolk"
"11972",983,"Speonk","Suffolk"
"11976",1847,"Water Mill","Suffolk"
"11977",2629,"Westhampton","Suffolk"
"11978",2981,"Westhampton Beach","Suffolk"
"11980",5966,"Yaphank","Suffolk"
"12008",542,"Alplaus","Schenectady"
"12009",7690,"Altamont","Albany"
"12010",27556,"Amsterdam","Montgomery"
"12015",3347,"Athens","Greene"
"12017",445,"Austerlitz","Columbia"
"12018",7112,"Averill Park","Rensselaer"
"12019",14244,"Ballston Lake","Saratoga"
"12020",33235,"Ballston Spa","Saratoga"
"12022",652,"Berlin","Rensselaer"
"12023",2376,"Berne","Albany"
"12025",5331,"Broadalbin","Fulton"
"12027",3996,"Burnt Hills","Saratoga"
"12028",707,"Buskirk","Rensselaer"
"12029",1082,"Canaan","Columbia"
"12032",753,"Caroga Lake","Fulton"
"12033",8152,"Castleton On Hudson","Rensselaer"
"12035",579,"Central Bridge","Schoharie"
"12036",252,"Charlotteville","Schoharie"
"12037",4489,"Chatham","Columbia"
"12041",681,"Clarksville","Albany"
"12042",233,"Climax","Greene"
"12043",8202,"Cobleskill","Schoharie"
"12045",449,"Coeymans","Albany"
"12046",1103,"Coeymans Hollow","Albany"
"12047",21453,"Cohoes","Albany"
"12051",6769,"Coxsackie","Greene"
"12052",1921,"Cropseyville","Rensselaer"
"12053",4611,"Delanson","Schenectady"
"12054",16948,"Delmar","Albany"
"12056",2543,"Duanesburg","Schenectady"
"12057",2176,"Eagle Bridge","Washington"
"12058",971,"Earlton","Greene"
"12059",1719,"East Berne","Albany"
"12060",1687,"East Chatham","Columbia"
"12061",9725,"East Greenbush","Rensselaer"
"12062",1601,"East Nassau","Rensselaer"
"12063",770,"East Schodack","Rensselaer"
"12064",307,"East Worcester","Otsego"
"12065",42432,"Clifton Park","Saratoga"
"12066",1837,"Esperance","Montgomery"
"12067",1554,"Feura Bush","Albany"
"12068",3029,"Fonda","Montgomery"
"12069",294,"Fort Hunter","Montgomery"
"12070",1974,"Fort Johnson","Montgomery"
"12071",319,"Fultonham","Schoharie"
"12072",3065,"Fultonville","Montgomery"
"12074",2957,"Galway","Saratoga"
